year,date,day_of_year,month,day,event,station_name_jp,station_name_en,station_name_ja,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg
1967,1967-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1968,1968-04-07,98,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1969,1969-04-12,102,4,12,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1970,1970-04-13,103,4,13,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1971,1971-04-08,98,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1972,1972-04-11,102,4,11,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1973,1973-04-02,92,4,2,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1974,1974-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1975,1975-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1976,1976-04-08,99,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1977,1977-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1978,1978-04-07,97,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1979,1979-04-09,99,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1980,1980-04-08,99,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1981,1981-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1982,1982-04-02,92,4,2,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1983,1983-04-09,99,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1984,1984-04-12,103,4,12,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1985,1985-04-09,99,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1986,1986-04-09,99,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1987,1987-04-08,98,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1988,1988-04-13,104,4,13,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1989,1989-04-02,92,4,2,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1990,1990-03-31,90,3,31,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1991,1991-04-12,102,4,12,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1992,1992-04-04,95,4,4,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1993,1993-04-09,99,4,9,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1994,1994-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1995,1995-04-10,100,4,10,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1996,1996-04-07,98,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1997,1997-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1998,1998-04-05,95,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1999,1999-04-06,96,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2000,2000-04-05,96,4,5,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2001,2001-04-04,94,4,4,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2002,2002-03-28,87,3,28,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2003,2003-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2004,2004-04-02,93,4,2,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2005,2005-04-08,98,4,8,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2006,2006-04-07,97,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2007,2007-04-02,92,4,2,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2008,2008-04-04,95,4,4,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2009,2009-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2010,2010-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2011,2011-04-07,97,4,7,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2012,2012-04-06,97,4,6,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2013,2013-03-28,87,3,28,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2014,2014-03-30,89,3,30,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2015,2015-04-01,91,4,1,full_bloom,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
